N155,N158,N159,N161,N166,N167,N188,N203,N225,N229,N232,N234,N257,N260,N267,N289,N315,N326,N351,N360,N368,N370,N381,N383,N388,N390,N402,N404,N429,N430,N512,N514,N515,N516,N517,N520,N522,N523,N524,N525,N543,N554,N574,N575,N584,N585,N591,N594,N620,N621,N622,N623,N624,N625,N645,N647,N650,N651,N654,N661,N662,was_fraud,nivel_de_voltaje_34.5 kV-Y,actividad_economica_Actividades inmobiliarias,"actividad_economica_Actividades profesionales, científicas y técnicas",actividad_economica_Comercio al por mayor y al por menor,actividad_economica_Industrias Manufactureras,actividad_economica_Otras,provincia_CARTAGO,provincia_HEREDIA,provincia_SAN JOSÉ,area_riesgo_ZONA PELIGROSA,tipo_cliente_NATURAL,tarifa_INDUSTRIA Y COMERCIO,tarifa_TARIFA INDUSTRIAL 
4.0,-0.0030998159,0.0042904475,379.0,0.21256054894999998,0.2819805808,221.42,20.0,786.0,13.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0002943534,0.0876938679,4.0,4.0,0.0,2.0,2.0,6.0,11.0,4.0,0.0,3.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008259362,0.0,0.0,0.0,0.0,-0.0049100677,0.0,-0.0154057915,1.0,1.0,1.0,1.0,1.0,1.0,0.0019381787,0.0003063121,0.0002158013,0.000283131,475.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0
0.0,-0.0084461365,-0.0058020392,258.9166666667,0.21256054894999998,0.2819805808,177.87,0.0,312.0,13.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0002943534,0.0876938679,4.0,4.0,0.0,0.0,5.0,6.0,8.0,4.0,0.0,3.0,0.0,0.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001177685,0.0,0.0,1.0,1.0,-0.0007012006,0.0,-0.0039794027,1.0,1.0,1.0,1.0,1.0,1.0,0.0022137246,0.0008852605,0.0010201498,0.000878506,243.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0
0.0,-0.0013341195,-0.0041735882,257.75,0.21256054894999998,0.2819805808,220.91,0.0,524.0,36.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0002943534,0.0876938679,4.0,4.0,0.0,4.0,5.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,97.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0015102826,0.0,0.0,1.0,1.0,0.0026002473,0.0,0.0026124977,1.0,1.0,1.0,1.0,1.0,1.0,-0.0002429371,0.0001077225,2.78015e-05,0.0001014089,267.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0
0.0,0.0101456579,0.006548481,257.8333333333,0.21256054894999998,0.2819805808,209.6,0.0,680.0,71.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0002943534,0.0876938679,4.0,0.0,0.0,0.0,3.0,6.0,11.0,4.0,0.0,2.0,0.0,0.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0032526926,0.0,0.0,0.0,0.0,-0.0074511642,0.0,-0.0154074737,1.0,1.0,1.0,1.0,1.0,1.0,-0.0017741118,7.01464e-05,0.0002381359,-7.42364e-05,323.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0
0.0,0.0044587061,0.0045366943,158.6666666667,0.21256054894999998,0.2819805808,235.54,0.0,333.0,49.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0002943534,0.0876938679,4.0,4.0,0.0,2.0,3.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,97.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0020419454,0.0,0.0,1.0,1.0,0.0027666119,0.0,-0.0145478305,1.0,1.0,1.0,1.0,1.0,1.0,0.0015526382,5.55815e-05,7.63279e-05,0.0001392404,1.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0
0.0,-0.0003779052,0.0008572494,301.0833333333,0.21256054894999998,0.2819805808,211.16,0.0,782.0,13.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0002943534,0.0876938679,4.0,4.0,0.0,1.0,4.0,6.0,4.0,4.0,0.0,1.0,0.0,0.0,97.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0030495911,0.0,0.0,2.0,1.0,-0.0053129927,0.0,-0.0167887799,1.0,1.0,1.0,1.0,1.0,1.0,-0.0006091127,3.36044e-05,0.0002671809,4.18473e-05,228.0,0.0,75.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0
0.0,-0.0091875204,0.002356634,188.25,0.21256054894999998,0.2819805808,214.68,0.0,313.0,60.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0002943534,0.0876938679,4.0,4.0,0.0,2.0,2.0,6.0,2.0,4.0,0.0,2.0,0.0,0.0,63.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039288759,0.0,0.0,6.0,2.0,0.0063273025,0.0,0.0124448126,1.0,1.0,1.0,1.0,1.0,1.0,-0.0014915527,-0.0005776771,-0.0017019635,-0.000319011,136.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0
0.0,0.0074505746,0.0035364859,91.75,0.21256054894999998,0.2819805808,748.04,0.0,897.0,54.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0002943534,0.0876938679,4.0,4.0,0.0,1.0,4.0,6.0,4.0,4.0,0.0,3.0,0.0,0.0,97.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0034539974,0.0,0.0,1.0,1.0,-0.008107112,0.0,-0.0171360744,1.0,1.0,1.0,1.0,1.0,1.0,-0.0027336507,-1.74681e-05,0.000230987,-8.7359e-05,115.0,0.0,92.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0
0.0,-0.0135560337,-0.0046009792,172.8333333333,0.21256054894999998,0.2819805808,203.02,0.0,343.0,84.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0002943534,0.0876938679,4.0,4.0,0.0,4.0,5.0,6.0,11.0,4.0,0.0,3.0,0.0,0.0,97.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011106557,0.0,7.0,0.0,0.0,0.0044112165,0.0,0.0072489419,1.0,1.0,1.0,1.0,1.0,1.0,0.0005529727,-0.0006888475,-0.0008258512,-0.0006649183,79.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0
0.0,-0.01348504,-0.000713873,238.6666666667,0.21256054894999998,0.2819805808,160.86,0.0,396.0,87.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0002943534,0.0876938679,4.0,4.0,0.0,3.0,4.0,6.0,8.0,4.0,0.0,3.0,0.0,0.0,97.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003107207,0.0,10.0,0.0,0.0,0.0051162939,0.0,-0.00214498,1.0,1.0,1.0,1.0,1.0,1.0,-8.26207e-05,-0.0005427234,-0.0006880458,-0.0004129619,260.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0
